segment_id,checkpoint,repeat_count,step_index,instruction
1,1,5,1,Discharge at 1.0C until 2.5 V
1,1,5,2,Charge at 1.5C for 0.200000 hours
1,1,5,3,Charge at 0.8C for 0.625000 hours
1,1,5,4,Hold at 4.2 V until C/100
2,2,5,1,Discharge at 1.0C until 2.5 V
2,2,5,2,Charge at 1.5C for 0.200000 hours
2,2,5,3,Charge at 0.8C for 0.625000 hours
2,2,5,4,Hold at 4.2 V until C/100
3,3,5,1,Discharge at 1.0C until 2.5 V
3,3,5,2,Charge at 1.5C for 0.200000 hours
3,3,5,3,Charge at 0.8C for 0.625000 hours
3,3,5,4,Hold at 4.2 V until C/100
4,4,5,1,Discharge at 1.0C until 2.5 V
4,4,5,2,Charge at 1.5C for 0.200000 hours
4,4,5,3,Charge at 0.8C for 0.625000 hours
4,4,5,4,Hold at 4.2 V until C/100
5,5,5,1,Discharge at 1.0C until 2.5 V
5,5,5,2,Charge at 1.5C for 0.200000 hours
5,5,5,3,Charge at 0.8C for 0.625000 hours
5,5,5,4,Hold at 4.2 V until C/100
6,6,5,1,Discharge at 1.0C until 2.5 V
6,6,5,2,Charge at 1.5C for 0.200000 hours
6,6,5,3,Charge at 0.8C for 0.625000 hours
6,6,5,4,Hold at 4.2 V until C/100
7,7,5,1,Discharge at 1.0C until 2.5 V
7,7,5,2,Charge at 1.5C for 0.200000 hours
7,7,5,3,Charge at 0.8C for 0.625000 hours
7,7,5,4,Hold at 4.2 V until C/100
8,8,5,1,Discharge at 1.0C until 2.5 V
8,8,5,2,Charge at 1.5C for 0.200000 hours
8,8,5,3,Charge at 0.8C for 0.625000 hours
8,8,5,4,Hold at 4.2 V until C/100
9,9,5,1,Discharge at 1.0C until 2.5 V
9,9,5,2,Charge at 1.5C for 0.200000 hours
9,9,5,3,Charge at 0.8C for 0.625000 hours
9,9,5,4,Hold at 4.2 V until C/100
10,10,5,1,Discharge at 1.0C until 2.5 V
10,10,5,2,Charge at 1.5C for 0.200000 hours
10,10,5,3,Charge at 0.8C for 0.625000 hours
10,10,5,4,Hold at 4.2 V until C/100
11,11,5,1,Discharge at 1.0C until 2.5 V
11,11,5,2,Charge at 1.5C for 0.200000 hours
11,11,5,3,Charge at 0.8C for 0.625000 hours
11,11,5,4,Hold at 4.2 V until C/100
12,12,5,1,Discharge at 1.0C until 2.5 V
12,12,5,2,Charge at 1.5C for 0.200000 hours
12,12,5,3,Charge at 0.8C for 0.625000 hours
12,12,5,4,Hold at 4.2 V until C/100
13,13,5,1,Discharge at 1.0C until 2.5 V
13,13,5,2,Charge at 1.5C for 0.200000 hours
13,13,5,3,Charge at 0.8C for 0.625000 hours
13,13,5,4,Hold at 4.2 V until C/100
14,14,5,1,Discharge at 1.0C until 2.5 V
14,14,5,2,Charge at 1.5C for 0.200000 hours
14,14,5,3,Charge at 0.8C for 0.625000 hours
14,14,5,4,Hold at 4.2 V until C/100
