Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
0.3,0.3,0.01,1,0.991676,2400.0,7200.0,2857.99,0.36275,0.694968,0.030532,0.029633,11.55,43.6125,4.8244,2.8204,0.029633,0.004679,0.0
0.3,0.3,0.01,2,0.991085,2400.0,7200.0,2829.76,0.319531,0.607684,0.031378,0.070671,10.9,53.2621,4.8215,2.8206,0.078886,0.029204,0.019853
0.3,0.3,0.01,3,0.99015,2400.0,7200.0,2826.56,0.277352,0.523228,0.031476,0.147681,10.9,62.9042,4.817,2.8208,0.162091,0.087925,0.073914
0.3,0.3,0.01,4,0.989221,2400.0,7200.0,2821.35,0.274341,0.517047,0.031635,0.155389,10.9,72.5371,4.8125,2.821,0.244628,0.146205,0.127545
0.3,0.3,0.01,5,0.9883,2400.0,7200.0,2816.1,0.271529,0.511262,0.031796,0.162913,10.9,82.1609,4.808,2.8212,0.326511,0.204055,0.180758
0.3,0.3,0.01,6,0.987387,2400.0,7200.0,2811.02,0.268891,0.505829,0.031953,0.170261,10.9,91.7757,4.8035,2.8214,0.407754,0.261485,0.23356
0.3,0.3,0.01,7,0.98648,2400.0,7200.0,2805.87,0.266413,0.500714,0.032113,0.177438,10.9,101.3817,4.7991,2.8216,0.488371,0.318502,0.285961
0.3,0.3,0.01,8,0.98558,2400.0,7200.0,2800.72,0.264079,0.495885,0.032273,0.184451,10.9,110.9789,4.7948,2.8218,0.568375,0.375117,0.337969
0.3,0.3,0.01,9,0.984687,2400.0,7200.0,2795.6,0.261874,0.491315,0.032433,0.191305,10.9,120.5674,4.7904,2.8221,0.647779,0.431336,0.389593
0.3,0.3,0.01,10,0.983801,2400.0,7200.0,2790.46,0.259788,0.486982,0.032595,0.198006,10.9,130.1472,4.7861,2.8223,0.726596,0.487169,0.44084
0.3,0.3,0.01,11,0.982921,2400.0,7200.0,2785.35,0.257811,0.482865,0.032756,0.204559,10.9,139.7185,4.7818,2.8225,0.804836,0.542622,0.491719
0.3,0.3,0.01,12,0.982047,2400.0,7200.0,2780.2,0.255933,0.478947,0.03292,0.210968,10.9,149.2812,4.7776,2.8227,0.882512,0.597704,0.542235
0.3,0.3,0.01,13,0.98118,2400.0,7200.0,2775.13,0.254146,0.47521,0.033082,0.217241,10.9,158.8355,4.7734,2.8229,0.959634,0.652422,0.592398
0.3,0.3,0.01,14,0.980319,2400.0,7200.0,2770.01,0.252444,0.471643,0.033246,0.223379,10.9,168.3813,4.7692,2.8231,1.036213,0.706783,0.642213
0.3,0.3,0.01,15,0.979464,2400.0,7200.0,2764.83,0.250823,0.468232,0.033413,0.229387,10.9,177.9188,4.765,2.8233,1.11226,0.760792,0.691687
0.3,0.3,0.01,16,0.978615,2400.0,7200.0,2760.0,0.249267,0.464965,0.033569,0.235275,10.9,187.448,4.7609,2.8235,1.187786,0.814459,0.740827
0.3,0.3,0.01,17,0.977771,2400.0,7200.0,2754.91,0.247784,0.461834,0.033735,0.241038,10.9,196.9689,4.7568,2.8237,1.262799,0.867788,0.78964
0.3,0.3,0.01,18,0.976933,2400.0,7200.0,2749.87,0.246364,0.458828,0.0339,0.246684,10.9,206.4816,4.7527,2.8239,1.337309,0.920786,0.838131
0.3,0.3,0.01,19,0.976101,2400.0,7200.0,2744.9,0.245001,0.45594,0.034062,0.252218,10.9,215.9862,4.7486,2.8241,1.411325,0.973459,0.886306
0.3,0.3,0.01,20,0.975274,2400.0,7200.0,2739.8,0.243697,0.453163,0.034231,0.257639,10.9,225.4825,4.7446,2.8243,1.484857,1.025812,0.93417
0.3,0.3,0.01,21,0.974452,2400.0,7200.0,2734.78,0.242443,0.450489,0.034397,0.262955,10.9,234.9706,4.7406,2.8245,1.557912,1.077851,0.98173
0.3,0.3,0.01,22,0.973636,2400.0,7200.0,2729.78,0.241238,0.447913,0.034564,0.268167,10.9,244.4506,4.7367,2.8247,1.630498,1.129582,1.028991
0.3,0.3,0.01,23,0.972825,2400.0,7200.0,2724.74,0.24008,0.445428,0.034732,0.273278,10.9,253.9226,4.7327,2.8249,1.702625,1.18101,1.075958
0.3,0.3,0.01,24,0.972019,2400.0,7200.0,2719.78,0.238964,0.443029,0.034899,0.278293,10.9,263.3867,4.7288,2.8251,1.7743,1.23214,1.122636
0.3,0.3,0.01,25,0.971219,2400.0,7200.0,2714.76,0.23789,0.440712,0.035068,0.283212,10.9,272.843,4.7249,2.8253,1.845531,1.282978,1.16903
0.3,0.3,0.01,26,0.970423,2400.0,7200.0,2709.77,0.236855,0.438472,0.035237,0.288039,10.9,282.2915,4.721,2.8254,1.916324,1.333527,1.215145
0.3,0.3,0.01,27,0.969632,2400.0,7200.0,2704.79,0.235856,0.436305,0.035407,0.292776,10.9,291.7323,4.7172,2.8256,1.986688,1.383793,1.260985
0.3,0.3,0.01,28,0.968845,2400.0,7200.0,2699.92,0.23489,0.434206,0.035574,0.297428,10.9,301.1655,4.7133,2.8258,2.056629,1.43378,1.306555
0.3,0.3,0.01,29,0.968063,2400.0,7200.0,2694.84,0.233962,0.432175,0.035749,0.301993,10.9,310.591,4.7095,2.826,2.126154,1.483493,1.35186
0.3,0.3,0.01,30,0.967286,2400.0,7200.0,2690.08,0.233058,0.430204,0.035913,0.306479,10.9,320.009,4.7058,2.8262,2.195271,1.532937,1.396904
0.3,0.3,0.01,31,0.966514,2400.0,7200.0,2685.16,0.232189,0.428293,0.036084,0.310883,10.9,329.4195,4.702,2.8264,2.263985,1.582115,1.44169
0.3,0.3,0.01,32,0.965746,2400.0,7200.0,2680.24,0.231347,0.42644,0.036255,0.315209,10.9,338.8225,4.6983,2.8266,2.332302,1.631032,1.486224
0.3,0.3,0.01,33,0.964982,2400.0,7200.0,2675.42,0.230532,0.424639,0.036424,0.319461,10.9,348.218,4.6946,2.8268,2.40023,1.679691,1.530508
0.3,0.3,0.01,34,0.964223,2400.0,7200.0,2670.41,0.229746,0.422891,0.0366,0.323636,10.9,357.6061,4.6909,2.8269,2.467773,1.728097,1.574547
0.3,0.3,0.01,35,0.963468,2400.0,7200.0,2665.44,0.228984,0.421192,0.036776,0.32774,10.9,366.9868,4.6872,2.8271,2.534938,1.776253,1.618345
0.3,0.3,0.01,36,0.962717,2400.0,7200.0,2660.67,0.228242,0.419539,0.036945,0.331776,10.9,376.3602,4.6835,2.8273,2.60173,1.824163,1.661905
0.3,0.3,0.01,37,0.96197,2400.0,7200.0,2655.78,0.227526,0.417932,0.03712,0.335742,10.9,385.7262,4.6799,2.8275,2.668155,1.871832,1.70523
0.3,0.3,0.01,38,0.961228,2400.0,7200.0,2650.88,0.226831,0.416368,0.037295,0.339641,10.9,395.0847,4.6763,2.8277,2.734218,1.919261,1.748325
0.3,0.3,0.01,39,0.960489,2400.0,7200.0,2646.02,0.226157,0.414844,0.03747,0.343476,10.9,404.4359,4.6727,2.8279,2.799925,1.966455,1.791192
0.3,0.3,0.01,40,0.959754,2400.0,7200.0,2641.13,0.225504,0.413361,0.037647,0.347247,10.9,413.7798,4.6691,2.828,2.86528,2.013417,1.833836
0.3,0.3,0.01,41,0.959024,2400.0,7200.0,2636.39,0.224867,0.411915,0.037819,0.350959,10.91,423.1166,4.6656,2.8282,2.930289,2.06015,1.876258
0.3,0.3,0.01,42,0.958297,2400.0,7200.0,2631.6,0.224249,0.410505,0.037994,0.354609,10.91,432.4463,4.662,2.8284,2.994958,2.106658,1.918463
0.3,0.3,0.01,43,0.957574,2400.0,7200.0,2626.75,0.223651,0.409131,0.038171,0.3582,10.91,441.769,4.6585,2.8286,3.059289,2.152944,1.960453
0.3,0.3,0.01,44,0.956855,2400.0,7200.0,2621.95,0.223069,0.40779,0.038348,0.361734,10.91,451.0847,4.655,2.8287,3.123289,2.199011,2.002232
0.3,0.3,0.01,45,0.956139,2400.0,7200.0,2617.11,0.222504,0.406482,0.038527,0.365211,10.91,460.3934,4.6515,2.8289,3.186961,2.244861,2.043802
0.3,0.3,0.01,46,0.955427,2400.0,7200.0,2612.36,0.221954,0.405204,0.038703,0.368635,10.91,469.6952,4.6481,2.8291,3.25031,2.290499,2.085166
0.3,0.3,0.01,47,0.954718,2400.0,7200.0,2607.52,0.221421,0.403957,0.038884,0.372003,10.91,478.9901,4.6446,2.8293,3.313341,2.335925,2.126328
0.3,0.3,0.01,48,0.954013,2400.0,7200.0,2602.75,0.220901,0.402739,0.039062,0.375321,10.91,488.2782,4.6412,2.8294,3.376058,2.381144,2.167289
