Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
4.0,4.0,0.01,1,0.99107,0.02,361.46,3373.93,23.21,43.6061,4.8215,2.8205,0.042607,0.004676,0.0
4.0,4.0,0.01,2,0.977761,0.0,304.63,3509.87,22.08,53.1882,4.7567,2.8234,1.248187,0.881117,0.871895
4.0,4.0,0.01,3,0.963624,0.0,280.37,3504.15,21.97,62.6339,4.6879,2.8265,2.534612,1.819523,1.805905
4.0,4.0,0.01,4,0.960068,0.0,21.12,3764.98,21.14,71.991,4.6706,2.8273,2.856017,2.053197,2.03516
4.0,4.0,0.01,5,0.956651,0.0,20.73,3760.94,21.12,81.3154,4.654,2.8281,3.165778,2.278767,2.256344
4.0,4.0,0.01,6,0.953355,0.0,20.34,3757.47,21.11,90.6078,4.638,2.8288,3.464582,2.49654,2.469764
4.0,4.0,0.01,7,0.950168,0.0,19.94,3754.16,21.1,99.8738,4.6225,2.8296,3.753551,2.707321,2.676222
4.0,4.0,0.01,8,0.947078,0.0,19.67,3750.98,21.09,109.1089,4.6075,2.8303,4.033631,2.911783,2.876391
4.0,4.0,0.01,9,0.944078,0.0,19.42,3748.06,21.08,118.3186,4.5929,2.831,4.305614,3.110493,3.070835
4.0,4.0,0.01,10,0.941161,0.0,19.15,3745.25,21.07,127.5023,4.5787,2.8317,4.570152,3.303915,3.26002
4.0,4.0,0.01,11,0.938319,0.0,18.89,3742.65,21.05,136.6594,4.5648,2.8323,4.827803,3.492446,3.44434
4.0,4.0,0.01,12,0.935548,0.0,18.64,3740.24,21.04,145.7892,4.5514,2.833,5.07907,3.676445,3.624154
4.0,4.0,0.01,13,0.932842,0.0,18.45,3737.98,21.04,154.8927,4.5382,2.8336,5.324415,3.856242,3.799789
4.0,4.0,0.01,14,0.930197,0.0,18.29,3735.83,21.03,163.9701,4.5253,2.8343,5.564246,4.032127,3.971538
4.0,4.0,0.01,15,0.927608,0.0,18.13,3733.87,21.02,173.0241,4.5127,2.8349,5.798914,4.20435,4.139648
4.0,4.0,0.01,16,0.925074,0.0,17.91,3732.29,21.01,182.0563,4.5004,2.8355,6.028709,4.373117,4.304325
4.0,4.0,0.01,17,0.922591,0.0,17.66,3730.79,21.0,191.0665,4.4883,2.8361,6.253906,4.538624,4.465765
4.0,4.0,0.01,18,0.920155,0.0,17.39,3729.53,20.99,200.0528,4.4765,2.8367,6.474749,4.701043,4.624139
4.0,4.0,0.01,19,0.917765,0.0,17.12,3728.51,20.98,209.0149,4.4648,2.8373,6.691479,4.860547,4.779619
4.0,4.0,0.01,20,0.915418,0.0,16.86,3727.69,20.98,217.9536,4.4534,2.8379,6.904298,5.017278,4.932349
