Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
2.0,2.0,0.01,1,1.003094,159.96,1080.0,1977.89,0.850336,0.703745,0.996927,0.026933,43.66,43.7266,4.88,2.6823,0.026933,0.001342,0.0
2.0,2.0,0.01,2,1.002759,301.58,979.23,1939.62,0.851308,0.705697,0.996919,0.026361,45.84,53.488,4.8783,2.6824,0.053294,0.002683,0.0
2.0,2.0,0.01,3,1.002411,300.94,979.09,1940.11,0.851644,0.706367,0.99692,0.026166,45.84,63.2463,4.8766,2.6825,0.079461,0.004022,0.0
2.0,2.0,0.01,4,1.002065,300.32,978.94,1940.6,0.851974,0.707026,0.996921,0.025976,45.84,73.0012,4.875,2.6825,0.105437,0.005359,0.0
2.0,2.0,0.01,5,1.001514,299.71,978.78,1941.16,0.802702,0.608481,0.996922,0.070152,45.87,82.7517,4.8723,2.6826,0.151827,0.027323,0.020629
2.0,2.0,0.01,6,1.000899,298.99,978.44,1941.49,0.791276,0.585627,0.996924,0.086381,45.87,92.4966,4.8693,2.6827,0.204482,0.055754,0.047728
2.0,2.0,0.01,7,1.000289,298.23,978.03,1941.76,0.789848,0.58277,0.996927,0.088616,45.87,102.2354,4.8663,2.6828,0.256766,0.084008,0.074651
2.0,2.0,0.01,8,0.999683,297.5,977.62,1942.07,0.788478,0.580026,0.996929,0.090807,45.88,111.9682,4.8634,2.683,0.308689,0.112087,0.101402
2.0,2.0,0.01,9,0.999082,296.77,977.21,1942.43,0.78716,0.577389,0.996932,0.092957,45.88,121.695,4.8604,2.6831,0.360257,0.139997,0.127985
2.0,2.0,0.01,10,0.998484,296.04,976.8,1942.72,0.785893,0.574852,0.996934,0.095064,45.88,131.4159,4.8575,2.6832,0.411477,0.167739,0.154403
2.0,2.0,0.01,11,0.99789,295.33,976.39,1943.06,0.784673,0.572409,0.996937,0.097133,45.88,141.1309,4.8546,2.6833,0.462357,0.195318,0.18066
2.0,2.0,0.01,12,0.997301,294.61,975.98,1943.44,0.783496,0.570052,0.996939,0.099163,45.88,150.84,4.8518,2.6834,0.512903,0.222737,0.206759
2.0,2.0,0.01,13,0.996715,293.9,975.58,1943.86,0.78236,0.567778,0.996941,0.101157,45.88,160.5434,4.8489,2.6835,0.563123,0.25,0.232703
2.0,2.0,0.01,14,0.996133,293.19,975.18,1944.25,0.781263,0.565582,0.996943,0.103114,45.88,170.2409,4.8461,2.6836,0.613023,0.277108,0.258495
