Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.02,1.0,0.989657,3.3,3.8,0.59,404.24,3015.9,0.976861,0.999936,0.942279,0.999873,0.039868,23.89,43.5934,4.8146,2.8204,0.039868,0.004654,0.0,
0.05,2.0,0.981368,3.0,3.6,0.08,427.18,2627.33,0.606886,0.01888,0.998428,0.999812,0.688122,23.77,53.1628,4.7743,2.8213,0.388068,0.25411,0.244889,
0.05,3.0,0.980092,0.1,2.3,7200.0,541.46,2646.95,0.59243,0.981175,0.0,0.9998,0.311734,12.75,62.7078,4.7681,2.8216,0.524483,0.351735,0.337978,
0.05,4.0,0.97681,0.4,3.7,1800.0,10.06,3003.0,0.201432,0.003683,1.5e-05,0.999767,0.766685,16.53,72.2467,4.7521,2.8223,0.816828,0.562942,0.544675,
0.1,5.0,0.967767,2.5,2.3,0.85,873.79,2234.73,0.994208,0.988414,0.997285,0.999642,0.288273,21.13,81.6701,4.7081,2.8226,0.918619,0.635648,0.612973,
0.1,6.0,0.966671,1.8,1.4,13.42,1542.86,2279.38,0.678757,0.992279,0.204802,0.999623,0.268757,17.66,91.0842,4.7028,2.8228,1.009723,0.700637,0.673583,
0.1,7.0,0.965751,0.3,1.1,2400.0,1653.24,2045.38,0.597075,0.992885,0.0,0.999606,0.264838,13.6,100.486,4.6983,2.8231,1.096202,0.76229,0.730881,
0.01,8.0,0.978726,0.3,0.6,2400.0,3540.59,2882.6,0.597618,0.994152,0.0,0.999787,0.255435,11.9,110.0137,4.7614,2.8233,1.177101,0.819845,0.783891,
0.1,9.0,0.963748,3.7,2.4,0.0,818.98,2232.15,0.987466,0.970399,0.998482,0.999567,0.333815,21.94,119.3986,4.6885,2.8235,1.27778,0.891917,0.851595,
0.01,10.0,0.976253,3.6,2.2,0.0,923.52,3425.71,0.583943,0.958465,0.001513,0.999761,0.350534,18.5,128.9054,4.7494,2.8238,1.3794,0.964686,0.919837,
0.02,11.0,0.970612,4.0,3.6,0.0,89.64,3366.27,0.567897,0.0,0.919899,0.999687,1.436225,22.21,138.3664,4.7219,2.8247,1.749286,1.233195,1.183944,
0.1,12.0,0.957487,1.5,1.3,44.94,1661.54,2245.41,0.617065,0.968406,0.074547,0.999418,0.337014,17.23,147.6908,4.6581,2.8249,1.832215,1.292533,1.23899,
0.02,13.0,0.968925,3.0,1.1,0.04,1963.64,3156.25,0.581118,0.952963,1e-06,0.999661,0.356731,15.33,157.1289,4.7137,2.8252,1.91763,1.353698,1.29571,
